Case,Condition,Score,Detected X,Detected Y,Error,Detected Scale,Scale Error,Detected Angle,Rotation Error,Detection Time (ms),Success
1,Clean,0.9952274560928345,600,650,0.0,1.3,0.0,6.0,0.0,3876.8488001078367,True
2,Noise,0.9905110597610474,600,650,0.0,1.3,0.0,6.0,0.0,3776.421200018376,True
3,Brightness,0.9932633638381958,600,650,0.0,1.3,0.0,6.0,0.0,3842.516199918464,True
4,Blur,0.9659883379936218,600,650,0.0,1.3,0.0,6.0,0.0,3781.8213999271393,True
5,Rotation,0.904661238193512,622,632,28.42534080710379,1.3,0.0,10.0,4.0,3769.4740002043545,False
6,Noise + Rotation,0.9018431305885315,622,632,28.42534080710379,1.3,0.0,10.0,4.0,3759.8050001543015,False
7,Blur + Rotation,0.9026420712471008,622,632,28.42534080710379,1.3,0.0,10.0,4.0,3754.5300000347197,False
8,Noise + Blur + Rotation,0.9033213257789612,622,632,28.42534080710379,1.3,0.0,10.0,4.0,3778.045600047335,False
9,Scale 1.3x,0.60860276222229,817,882,317.6680657541768,0.95,0.3500000000000001,6.0,0.0,3871.775700012222,False
10,Full Combined Distortion,0.9102947115898132,622,632,28.42534080710379,1.3,0.0,10.0,4.0,3763.550499919802,False
