Case,Condition,Expected Scale,Expected Angle,Score,Detected X,Detected Y,Localization Error,Detected Scale,Scale Error,Detected Angle,Rotation Error,Detection Time (ms),Success
1,Clean,1.0,0.0,0.9999999403953552,600,650,0.0,1.0,0.0,0.0,0.0,4949.567600153387,True
2,Noise,1.0,0.0,0.9969433546066284,600,650,0.0,1.0,0.0,0.0,0.0,5689.893099945039,True
3,Brightness,1.0,0.0,0.9976948499679565,600,650,0.0,1.0,0.0,0.0,0.0,4345.936099998653,True
4,Blur,1.0,0.0,0.9269092082977295,600,650,0.0,1.0,0.0,0.0,0.0,4418.281399877742,True
5,Rotation,1.0,6.0,0.9999999403953552,600,650,0.0,1.0,0.0,6.0,0.0,4418.694500112906,True
6,Noise + Rotation,1.0,6.0,0.9959743618965149,600,650,0.0,1.0,0.0,6.0,0.0,4314.7492001298815,True
7,Blur + Rotation,1.0,6.0,0.9553120136260986,600,650,0.0,1.0,0.0,6.0,0.0,4261.449600104243,True
8,Noise + Blur + Rotation,1.0,6.0,0.9554447531700134,600,650,0.0,1.0,0.0,6.0,0.0,4322.003400186077,True
9,Scale 1.3x,1.3,0.0,1.0,600,650,0.0,1.3,0.0,0.0,0.0,4366.476100170985,True
10,Full Combined Distortion,1.3,6.0,0.9849861860275269,600,650,0.0,1.3,0.0,6.0,0.0,4316.090600099415,True
